data 0
3, -11, 1012
5, -12, 991
11, -4, 958
-2, -14, 1008
5, -12, 1012
4, -10, 1012
5, -12, 1013
5, -12, 1014
5, -12, 1015
5, -13, 1014
5, -12, 1016
5, -11, 1016
5, -11, 1015
4, -11, 1014
-49, -10, 943
54, -26, 1017
-2, 0, 1023
8, -22, 995
38, -5, 971
-35, -5, 1030
7, -8, 1020
8, -15, 1007
3, -14, 1011
2, -10, 1018
3, -10, 1013
4, -10, 1012
3, -12, 1012
3, -11, 1013
3, -12, 1011
2, -11, 1010
3, -9, 1012
3, -10, 1013
2, -9, 1012
4, -10, 1012
2, -12, 1013
2, -10, 1013
3, -10, 1011
3, -10, 1012
3, -10, 1012
3, -10, 1013
3, -10, 1014
3, -10, 1014
4, -9, 1013
4, -10, 1013
2, -11, 1014
4, -12, 1013
2, -11, 1013
3, -11, 1013
2, -10, 1014
4, -10, 1013
3, -11, 1013
4, -10, 1013
4, -10, 1012
2, -11, 1012
2, -11, 1013
1, -11, 1010
3, -10, 1013
2, -10, 1013
3, -9, 1014
3, -12, 1014
3, -11, 1014
3, -11, 1014
2, -10, 1012
2, -10, 1013
3, -11, 1013
3, -11, 1012
3, -10, 1013
3, -10, 1014
3, -10, 1012
3, -11, 1013
2, -11, 1014
4, -10, 1014
4, -11, 1013
2, -10, 1013
2, -10, 1013
3, -10, 1013
3, -10, 1013
2, -10, 1013
3, -10, 1013
3, -10, 1013
3, -11, 1013
3, -11, 1013
2, -10, 1011
2, -11, 1015
3, -10, 1013
3, -10, 1013
3, -12, 1011
3, -11, 1013
3, -12, 1011
4, -11, 1014
3, -11, 1013
3, -11, 1014
4, -11, 1013
2, -9, 1014
-3, 2, 1021
6, -16, 1009
2, -9, 1014
3, -11, 1014
3, -10, 1012
3, -10, 1012
3, -10, 1013
3, -10, 1012
3, -11, 1013
3, -11, 1011
3, -10, 1011
2, -10, 1014
0, -10, 1014
3, -10, 1015
3, -11, 1015
2, -10, 1012
5, -11, 1012
3, -12, 1013
4, -10, 1013
4, -10, 1014
3, -9, 1013
2, -10, 1014
2, -10, 1012
3, -10, 1016
4, -11, 1013
3, -10, 1014
4, -12, 1011
3, -11, 1012
4, -11, 1013
3, -10, 1013
3, -10, 1011
3, -11, 1011
3, -10, 1012
4, -10, 1012
4, -10, 1015
2, -12, 1015
0, -11, 1017
data 1
-1006, -18, -12
-1003, 22, -52
-1005, -53, 93
-1007, -14, 38
-1003, -16, 54
-1001, -14, 60
-1003, -15, 56
-1003, -13, 47
-1003, -16, 43
-1003, -15, 42
-1004, -12, 40
-1005, -15, 30
-1002, -15, 37
-1004, 11, 16
-998, -85, 131
-1007, 12, -48
-1001, -16, -5
-1010, -5, -28
-1005, -6, -36
-1004, -6, -41
-1006, -6, -7
-1006, -14, -6
-1003, -12, -27
-1003, -17, -4
-1005, -12, 15
-1006, -17, 38
-1003, -16, 70
-1002, -14, 63
-1001, -19, 45
-1001, -9, 53
-1004, -13, 41
-1004, -4, 38
-1004, -11, 33
-1003, -17, 27
-1003, -20, 33
-1005, -14, 41
-1005, -11, 49
-1003, -12, 37
-1002, -14, 32
-1004, -16, 33
-1003, -22, 37
-1004, -18, 16
-1004, -16, 12
-1005, -14, 19
-1006, -8, 18
-1004, -8, 26
-1004, -5, 26
-1003, -20, 42
-1004, -23, 32
-1003, -9, 13
-1003, -15, 34
-1004, -12, 27
-1005, -14, 12
-1004, -12, 15
-1007, -12, 27
-1006, -12, 36
-1003, -9, 34
-1003, -10, 17
-1006, -19, 22
-1005, -15, 16
-1005, -15, 19
-1004, -12, 23
-1003, -21, 35
-1004, -15, 40
-1004, -13, 45
-1002, -10, 43
-1002, -13, 41
-1003, -17, 37
-1005, -13, 30
-1005, -12, 35
-1004, -12, 39
-1003, -13, 34
-1004, -16, 27
-1004, -16, 33
-1004, -15, 38
-1004, -14, 46
-1002, -16, 49
-1003, -13, 48
-1004, -13, 45
-1003, -14, 37
-1002, -12, 28
-1003, -12, 29
-1004, -15, 21
-1005, -15, 20
-1006, -12, 24
-1004, -13, 35
-1004, -14, 34
-1003, -13, 44
-1004, -11, 33
-1003, -15, 48
-1005, -14, 45
-1003, -10, 39
-1001, -11, 47
-1002, -3, 49
-1002, -12, 53
-1002, -14, 39
-1004, -10, 43
-1004, -7, 49
-1003, -12, 33
-1003, -13, 40
-1003, -26, 19
-1004, -14, 39
-1004, -13, 34
-1003, -17, 21
-1002, -6, 37
-1004, -2, 46
-1004, -8, 49
-1003, -14, 41
-1001, -16, 51
-1001, -16, 56
-1002, -8, 48
data 2
1003, -8, 53
1001, -2, 48
1003, -6, 54
1000, -10, 61
998, -10, 64
998, -8, 77
999, -10, 62
1002, -7, 43
1003, -4, 30
1003, -4, 37
1004, -3, 43
999, -10, 63
999, -10, 64
1000, -9, 54
1001, -7, 44
1000, -7, 42
1001, -5, 32
999, -5, 42
996, -6, 57
1001, -28, 32
997, 8, 83
1001, -9, 30
1005, -5, 30
1007, -5, 29
1007, -6, 47
1003, -8, 66
997, -10, 78
994, -11, 83
993, -12, 91
996, -13, 94
996, -12, 84
1000, -10, 71
1000, -10, 78
1001, -11, 75
999, -11, 70
1000, -11, 55
1003, -11, 40
1002, -8, 53
1000, -5, 71
1000, -9, 77
1000, -11, 70
998, -12, 57
1001, -7, 33
1002, -5, 35
1004, -6, 29
1003, -8, 26
1003, -8, 27
1003, -8, 49
1000, -9, 65
1001, -10, 61
999, -9, 58
1000, -9, 56
1001, -8, 54
1000, -7, 65
999, -8, 70
1000, -10, 56
1000, -10, 51
1002, -7, 50
1002, -9, 52
1000, -10, 56
999, -10, 65
1000, -9, 70
1001, -10, 52
1000, -8, 43
1003, -8, 39
1002, -6, 37
1002, -7, 43
1002, -6, 54
1001, -8, 60
1000, -10, 57
1000, -10, 56
999, -8, 64
1000, -10, 59
1000, -10, 59
1001, -10, 55
1002, -9, 51
1001, -9, 51
1000, -10, 56
1000, -10, 52
999, -10, 60
1000, -10, 57
999, -9, 61
1002, -7, 60
1000, -9, 48
1000, -10, 41
1001, -6, 43
1002, -7, 53
1001, -8, 60
1000, -8, 62
998, -9, 66
1000, -9, 67
1000, -11, 64
999, -10, 54
1002, -8, 40
1001, -8, 45
1001, -8, 42
1000, -8, 49
1001, -7, 54
1001, -8, 53
1001, -9, 52
1000, -11, 56
1000, -8, 52
1001, -9, 46
1001, -7, 49
1002, -7, 51
1002, -8, 50
1001, -9, 52
1000, -8, 52
1000, -9, 50
1000, -8, 51
1000, -8, 51
1002, -8, 50
1000, -8, 57
1001, -8, 50
1001, -7, 47
1001, -9, 48
999, -10, 55
1001, -8, 51
1001, -6, 57
1003, -6, 53
1001, -8, 46
1000, -8, 50
1000, -10, 48
1000, -10, 49
1002, -6, 50
1001, -6, 50
1003, -8, 50
1000, -9, 57
998, -12, 48
999, -11, 44
1001, -7, 47
1001, -2, 51
1000, -3, 59
1001, -6, 60
1001, -9, 45
1002, -9, 38
1001, -8, 38
1001, -6, 41
1001, -5, 42
1002, -4, 47
1001, -5, 50
1001, -6, 53
1001, -8, 51
1001, -9, 46
1000, -9, 51
1000, -7, 57
998, -7, 71
1000, -11, 62
999, -8, 65
1000, -7, 64
1000, -9, 63
data 3
-13, -997, 131
-13, -1008, -96
-23, -996, 113
-16, -999, 127
-21, -1000, 87
-18, -1000, 46
-19, -999, 44
-15, -999, 70
-19, -999, 82
-19, -1000, 81
-19, -1000, 66
-15, -1000, 66
-11, -1000, 65
-13, -1001, 60
-17, -1001, 41
-11, -997, 103
-30, -996, 176
-18, -1006, -21
-25, -995, 49
-16, -997, 52
-14, -1001, 72
-22, -999, 66
-19, -1000, 60
-16, -999, 62
-16, -1001, 53
-17, -1001, 30
-18, -998, 50
-14, -999, 90
-19, -1002, 67
-24, -1000, 76
-17, -998, 76
-17, -999, 60
-19, -998, 80
-18, -999, 84
-20, -999, 78
-18, -999, 76
-19, -997, 79
-19, -998, 74
-18, -1001, 65
-20, -999, 62
-19, -1000, 63
-16, -1000, 65
-18, -1001, 60
-15, -999, 60
-18, -1000, 67
-19, -999, 66
-20, -999, 72
-18, -999, 76
-19, -998, 77
-20, -998, 78
-19, -999, 77
-20, -999, 68
-19, -1000, 64
-17, -1000, 59
-18, -1000, 63
-18, -1000, 60
-16, -1000, 63
-18, -1000, 70
-20, -999, 74
-20, -999, 75
-18, -998, 85
-21, -997, 78
-19, -998, 70
-18, -999, 68
-18, -1000, 60
-18, -1000, 66
-17, -1000, 68
-16, -999, 73
-20, -999, 82
-17, -999, 70
-18, -1000, 61
-17, -999, 61
-19, -1000, 65
-19, -999, 79
-20, -1000, 71
-18, -1000, 70
-19, -999, 63
-19, -999, 61
-20, -998, 63
-19, -999, 71
-15, -1000, 76
-20, -998, 78
-20, -1000, 77
-20, -999, 79
-19, -1000, 65
-19, -998, 73
-19, -999, 59
-17, -1000, 62
-17, -1000, 66
-19, -1000, 64
-18, -999, 68
-17, -999, 67
-17, -999, 74
-19, -999, 65
-17, -999, 72
-17, -1000, 69
-18, -1001, 65
-18, -999, 65
-16, -998, 64
-17, -999, 71
-19, -999, 69
-19, -1000, 73
-19, -1000, 70
-19, -1000, 65
-20, -999, 68
-19, -999, 66
-19, -999, 75
-19, -999, 68
-20, -999, 65
-18, -999, 72
-17, -1001, 71
-16, -999, 66
-17, -999, 63
-18, -999, 70
-16, -999, 74
-19, -999, 77
-20, -1000, 71
-20, -999, 69
-19, -1000, 67
-18, -999, 66
-17, -1001, 55
-17, -1001, 60
-18, -1001, 64
-17, -999, 71
-17, -1000, 71
-18, -998, 76
-20, -998, 78
-21, -998, 75
-20, -998, 74
-20, -999, 67
-19, -1000, 64
-18, -1001, 67
-18, -1001, 67
-19, -1000, 66
-16, -998, 64
-17, -999, 70
-17, -999, 73
-21, -998, 78
-20, -999, 77
-19, -999, 72
-21, -1000, 62
-19, -1000, 68
-19, -999, 74
-19, -1000, 76
-18, -999, 73
-19, -1000, 63
-17, -999, 63
-17, -1000, 69
-18, -999, 71
-20, -1001, 66
-19, -1000, 76
-18, -999, 74
-22, -999, 77
-20, -1000, 74
-16, -999, 72
-17, -1000, 66
-15, -1001, 65
-16, -1000, 62
-18, -999, 73
-19, -1000, 73
-21, -1000, 67
-18, -999, 63
-21, -1000, 65
-19, -999, 62
-17, -999, 69
-18, -999, 71
-20, -999, 71
-19, -999, 81
-18, -1000, 65
-20, -999, 81
-20, -999, 69
-17, -999, 70
-20, -999, 69
-20, -998, 69
-19, -1000, 73
-21, -998, 85
-17, -999, 67
-17, -1001, 65
-17, -1001, 68
-17, -1001, 67
-18, -1000, 63
-15, -1000, 64
data 4
-6, 996, 108
-9, 988, 104
-7, 993, 105
-6, 994, 106
-7, 993, 109
-6, 991, 109
-6, 992, 107
-6, 992, 108
-7, 993, 108
-7, 993, 108
-6, 993, 109
-6, 993, 111
-6, 994, 112
-7, 990, 115
-6, 991, 114
-9, 992, 112
-8, 995, 114
-7, 990, 112
-8, 992, 110
-9, 990, 112
-8, 988, 110
-9, 989, 105
-8, 992, 102
-8, 990, 98
-8, 996, 104
-9, 989, 107
-9, 989, 105
-8, 991, 101
-7, 993, 107
-6, 990, 109
-6, 990, 110
-7, 991, 112
