data
-13, 17
-19, 18
-5, 15
-17, 20
-12, 14
-12, 10
-13, 13
-11, 15
-12, 16
-12, 22
-8, 24
62, 80
111, 148
-46, 441
-161, 729
-56, 304
66, 250
-141, 789
-114, 497
98, 59
35, 29
20, 260
-296, 669
-74, 723
-68, 346
-72, 90
-13, 41
117, -128
159, -385
116, -465
80, -651
51, -616
33, -555
27, -335
-35, -124
-56, -125
21, -147
-6, -162
-18, -207
-5, -190
-48, -89
-22, -101
data
-13, 17
-16, 0
-5, 29
-12, 13
-13, 13
-12, 14
-12, 15
-12, 16
-12, 13
-13, 15
-10, 13
-14, 19
-13, 13
-11, 12
-14, 24
-8, 8
-13, 11
-16, 16
-12, 15
-13, 13
-14, 14
-14, 13
-11, 14
-12, 15
-13, 16
-12, 15
-13, 14
-12, 12
-14, 14
-13, 14
-13, 15
-13, 15
-12, 16
-12, 15
-1, 8
27, 38
-30, 0
-38, -5
-25, 9
-22, 27
-40, 36
-143, 14
-135, 20
-214, 49
-387, 27
-419, -111
-458, -126
-373, -91
-248, -164
-338, -63
-251, 13
-178, 14
-183, 77
-92, 99
26, 122
199, 105
117, 9
427, -100
238, 102
345, 24
215, 31
290, 22
246, 13
242, -13
228, -20
194, -3
168, 35
73, 42
-7, 17
-11, 17
-13, 18
-13, 15
-14, 15
-14, 15
-13, 14
-10, 16
-106, -16
66, 42
-79, -5
data
-10, 14
-11, 12
-9, 18
-12, 15
-11, 14
-11, 13
-13, 12
-12, 12
-11, 15
-8, 16
-13, 16
-6, 16
-5, 14
-17, 16
-6, 14
-31, 29
0, 4
-8, 11
-11, -1
-162, -174
-21, -258
-88, -530
-11, -820
-60, -958
-139, -884
-119, -674
-154, -478
-83, -379
34, -134
-108, 132
5, 295
89, 164
113, 90
90, 33
138, 90
10, 423
30, 597
-12, 555
112, 569
40, 349
43, 407
-14, 422
-4, 353
19, 336
2, 284
27, 236
34, 257
-7, 37
-11, 16
-10, 15
-12, 16
-12, 17
-11, 17
-11, 15
-11, 16
-11, 15
-10, 16
-11, 17
-11, 18
-10, 16
-10, 16
-9, 16
-10, 16
-10, 18
-11, 17
-12, 16
-11, 15
-12, 14
-10, 16
data
-8, 15
-13, 12
-9, 18
-9, 18
-11, 16
-12, 17
-11, 16
-12, 17
-10, 15
-10, 13
-12, 12
-5, 15
-11, 13
-11, 23
-9, 14
-9, 19
-10, 16
12, 3
-8, 20
-12, 17
-10, 16
-11, 13
-12, 14
-13, 15
-11, 16
-11, 18
-10, 19
-10, 17
-9, 15
-8, 16
-7, 16
-7, 16
-7, 17
152, -14
585, -52
287, -55
332, -108
462, -163
376, -75
394, -131
349, -133
358, -107
270, 32
216, 139
197, 130
68, 117
37, 117
-117, 85
-72, 25
-164, -126
-109, -124
-216, -46
-291, 107
-368, 183
-369, 164
-349, 85
-358, 43
-387, 96
-271, 6
-352, 62
-318, 115
-298, 115
-325, 139
-108, 53
-17, 18
-11, 17
-10, 15
-10, 13
-10, 12
-10, 13
-13, 17
-12, 20
-14, 23
data
-12, 15
-14, 12
-9, 21
-13, 16
-13, 18
-15, 17
-16, 19
-10, 15
-13, 15
-10, 16
-9, 17
-14, 18
-3, 15
-13, 15
-12, 14
-16, 19
-13, 21
-13, 19
-11, 18
-12, 16
-12, 16
-8, 19
90, 107
37, 87
-33, 161
-5, 278
-53, 449
-36, 605
-77, 759
-30, 836
24, 879
-1, 790
55, 758
53, 741
123, 648
79, 545
4, 439
29, 345
6, 134
8, -206
115, -269
101, -343
81, -480
13, -481
0, -534
-95, -567
-48, -630
-83, -609
19, -632
39, -553
72, -530
67, -522
48, -528
9, -501
-21, -356
-48, -234
-26, -138
-13, -33
-13, 9
-12, 17
-12, 16
-12, 14
-13, 16
-12, 16
-11, 16
-10, 17
-13, 16
-12, 15
-13, 15
-12, 13
-12, 15
-13, 17
-11, 18
-12, 18
-12, 16
-11, 17
data
-13, 15
-22, 24
-3, 5
-13, 15
-13, 16
-12, 15
-11, 14
-12, 14
-13, 14
-10, 15
-11, 15
-11, 15
-9, 15
-13, 15
-8, 17
-17, 15
-18, 23
-10, 6
-13, 8
-18, 13
-15, 15
-61, -17
-332, -83
-236, -76
-396, 54
-502, 47
-518, 75
-409, 44
-345, -58
-338, -91
-302, -42
-366, -45
-266, 55
-309, 225
-270, 275
25, 135
302, 14
256, 14
322, 59
271, 65
247, -58
334, -141
287, -131
317, -9
370, -48
394, 57
464, -59
333, -59
211, -17
102, -4
63, 7
30, 30
-20, 44
-63, 129
-58, 130
-11, 17
-12, 15
-12, 15
-13, 14
-12, 15
-13, 16
-13, 16
-12, 17
-12, 16
-11, 14
-12, 15
-10, 15
-10, 15
-11, 16
-11, 16
-11, 16
-11, 15
-11, 15
-12, 15
-12, 14
-13, 15
-13, 15
-11, 15
-12, 16
-11, 17
-11, 16
-10, 17
-11, 15
-10, 15
-10, 15
-10, 16
-11, 17
-11, 16
data
-7, 15
3, 10
-22, 21
-13, 11
-9, 18
-13, 15
-11, 12
-11, 15
-10, 14
-10, 12
-15, 14
-11, 17
-7, 18
-8, 9
-9, 12
-17, 15
1, 10
0, 3
-8, 20
-9, 16
-9, 14
0, 21
-10, 8
-13, 14
-14, 11
-12, 12
-24, 10
-18, 8
-11, 13
-12, 14
-11, 15
-12, 15
-11, 14
-10, 13
-10, 13
-10, 13
-12, 14
-10, 15
-10, 14
-11, 13
-11, 13
-10, 14
-12, 14
-11, 14
-11, 14
-12, 15
-11, 14
-12, 15
-11, 14
-10, 13
-10, 13
-11, 14
-11, 14
-11, 13
-11, 14
-11, 14
-12, 14
-12, 14
-13, 15
-11, 15
-12, 14
-10, 15
-10, 12
-11, 14
-11, 14
-12, 15
-11, 14
-11, 14
-11, 14
-11, 14
-11, 14
-11, 14
-11, 14
-11, 14
-11, 13
-10, 14
-11, 15
-11, 14
-11, 14
-12, 13
-12, 13
-10, 14
-11, 15
-12, 14
-12, 14
-11, 14
-12, 14
-11, 15
-11, 14
-11, 14
-12, 14
-11, 14
-11, 14
-11, 14
-11, 14
-10, 14
-11, 15
-10, 14
-10, 15
-10, 13
-10, 14
-11, 14
-10, 13
-10, 13
-11, 14
-10, 13
-11, 14
-11, 14
data
16, 9
